eig1   eig2   A
(0.494413406197+0.200438208289j) (0.494413406197-0.200438208289j) 0.25902
(0.495234353029+0.198401177289j) (0.495234353029-0.198401177289j) 0.25903
(0.496055621297+0.196338768839j) (0.496055621297-0.196338768839j) 0.25904
(0.496877210994+0.194250170566j) (0.496877210994-0.194250170566j) 0.25905
(0.497699122112+0.192134524277j) (0.497699122112-0.192134524277j) 0.25906
(0.498521354643+0.189990922244j) (0.498521354643-0.189990922244j) 0.25907
(0.499343908581+0.187818403074j) (0.499343908581-0.187818403074j) 0.25908
(0.500166783917+0.185615947148j) (0.500166783917-0.185615947148j) 0.25909
(0.500989980646+0.183382471524j) (0.500989980646-0.183382471524j) 0.2591
(0.501813498759+0.181116824268j) (0.501813498759-0.181116824268j) 0.25911
(0.502637338251+0.178817778105j) (0.502637338251-0.178817778105j) 0.25912
(0.503461499113+0.176484023303j) (0.503461499113-0.176484023303j) 0.25913
(0.504285981338+0.174114159664j) (0.504285981338-0.174114159664j) 0.25914
(0.505110784921+0.171706687482j) (0.505110784921-0.171706687482j) 0.25915
(0.505935909855+0.16925999731j) (0.505935909855-0.16925999731j) 0.25916
(0.506761356131+0.166772358327j) (0.506761356131-0.166772358327j) 0.25917
(0.507587123745+0.164241905062j) (0.507587123745-0.164241905062j) 0.25918
(0.508413212689+0.161666622199j) (0.508413212689-0.161666622199j) 0.25919
(0.509239622957+0.159044327094j) (0.509239622957-0.159044327094j) 0.2592
(0.510066354542+0.156372649571j) (0.510066354542-0.156372649571j) 0.25921
(0.510893407439+0.153649008474j) (0.510893407439-0.153649008474j) 0.25922
(0.511720781641+0.150870584299j) (0.511720781641-0.150870584299j) 0.25923
(0.512548477142+0.148034287075j) (0.512548477142-0.148034287075j) 0.25924
(0.513376493935+0.14513671846j) (0.513376493935-0.14513671846j) 0.25925
(0.514204832015+0.142174126698j) (0.514204832015-0.142174126698j) 0.25926
(0.515033491375+0.13914235276j) (0.515033491375-0.13914235276j) 0.25927
(0.515862472011+0.136036765399j) (0.515862472011-0.136036765399j) 0.25928
(0.516693075566+0.132847119775j) (0.516693075566-0.132847119775j) 0.25929
(0.517522654949+0.129577749574j) (0.517522654949-0.129577749574j) 0.2593
(0.518352990803+0.126215167453j) (0.518352990803-0.126215167453j) 0.25931
(0.519183142683+0.122755675727j) (0.519183142683-0.122755675727j) 0.25932
(0.520013682748+0.119188343914j) (0.520013682748-0.119188343914j) 0.25933
(0.520844581237+0.115503306301j) (0.520844581237-0.115503306301j) 0.25934
(0.52167577681+0.111689191328j) (0.52167577681-0.111689191328j) 0.25935
(0.522507083623+0.107733184922j) (0.522507083623-0.107733184922j) 0.25936
(0.523337756444+0.103622797927j) (0.523337756444-0.103622797927j) 0.25937
(0.524169950263+0.0993275128617j) (0.524169950263-0.0993275128617j) 0.25938
(0.525002464533+0.0948288131512j) (0.525002464533-0.0948288131512j) 0.25939
(0.525835297941+0.0900962319395j) (0.525835297941-0.0900962319395j) 0.2594
(0.526668452535+0.0850907320098j) (0.526668452535-0.0850907320098j) 0.25941
(0.527503294681+0.0797519007343j) (0.527503294681-0.0797519007343j) 0.25942
(0.528337106625+0.0740269770641j) (0.528337106625-0.0740269770641j) 0.25943
(0.529171239999+0.0678077453363j) (0.529171239999-0.0678077453363j) 0.25944
(0.530005694804+0.0609430475582j) (0.530005694804-0.0609430475582j) 0.25945
(0.530840471039+0.0531835113253j) (0.530840471039-0.0531835113253j) 0.25946
(0.531675568707+0.0440588380493j) (0.531675568707-0.0440588380493j) 0.25947
(0.532510987809+0.032436698857j) (0.532510987809-0.032436698857j) 0.25948
(0.533346191791+0.0127252218641j) (0.533346191791-0.0127252218641j) 0.25949
(0.561211409958+0j) (0.507153073725+0j) 0.2595
(0.575327731929+0j) (0.494709494735+0j) 0.25951
(0.586063068762+0j) (0.485647546724+0j) 0.25952
(0.595160763568+0j) (0.478223883348+0j) 0.25953
(0.603241488331+0j) (0.471817832618+0j) 0.25954
(0.6106118921+0j) (0.466122745482+0j) 0.25955
(0.61745018487+0j) (0.460960411939+0j) 0.25956
(0.623870788167+0j) (0.456216410463+0j) 0.25957
(0.629952339882+0j) (0.451812103156+0j) 0.25958
(0.635751633781+0j) (0.44769069625+0j) 0.25959
(0.641311269908+0j) (0.443809589703+0j) 0.2596
(0.646664170828+0j) (0.440135860945+0j) 0.25961
(0.651836403216+0j) (0.436643443302+0j) 0.25962
(0.656849022591+0j) (0.433311281255+0j) 0.25963
(0.661719325225+0j) (0.430122078531+0j) 0.25964
(0.666461724654+0j) (0.427061421595+0j) 0.25965
(0.67108838181+0j) (0.424117149521+0j) 0.25966
(0.67560966845+0j) (0.42127889055+0j) 0.25967
(0.680034514839+0j) (0.418537714424+0j) 0.25968
(0.684370675134+0j) (0.415885866989+0j) 0.25969
(0.688624933092+0j) (0.413316564493+0j) 0.2597
